"거주지역별(1)","성별(1)",2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020
"거주지역별(1)","성별(1)",총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자
"전국","총계",12032798,282910,1941927,3108057,3090353,1913052,1156929,264280,275290,12398627,252730,1876828,3166585,3235769,2006125,1259948,308122,292520,12650446,240293,1841226,3231720,3302097,2089927,1303758,325782,315643,13044592,275103,1855775,3280918,3376615,2243668,1337172,366776,308565,13311319,252840,1831033,3291308,3439685,2383245,1375881,415544,321783,13669851,252676,1805119,3316590,3502715,2516893,1473092,473021,329745,14010290,257292,1801650,3309561,3600518,2640555,1541530,535334,323850,14335723,250362,1741549,3316628,3689400,2799643,1612620,598223,327298,14696617,265312,1680384,3337805,3735459,3011572,1680030,658604,327451
"전국","남자",7047944,156530,1123901,1771633,1799567,1139882,676314,147203,232914,7205138,140344,1088176,1783058,1859636,1183435,732289,170351,247849,7281977,134155,1073637,1801109,1864412,1218026,749007,173816,267815,7420711,152291,1088849,1811469,1869816,1285274,759308,193279,260425,7509980,140309,1080179,1805209,1876111,1344462,773971,218645,271094,7666849,140360,1069615,1819578,1884236,1405068,822892,248717,276383,7796112,142123,1068892,1819350,1908829,1453325,852061,283637,267895,7922076,137260,1033528,1831187,1936430,1518678,881862,313984,269147,8055345,144581,993113,1848890,1944969,1606968,908455,340544,267825
"전국","여자",4984854,126380,818026,1336424,1290786,773170,480615,117077,42376,5193489,112386,788652,1383527,1376133,822690,527659,137771,44671,5368469,106138,767589,1430611,1437685,871901,554751,151966,47828,5623881,122812,766926,1469449,1506799,958394,577864,173497,48140,5801339,112531,750854,1486099,1563574,1038783,601910,196899,50689,6003002,112316,735504,1497012,1618479,1111825,650200,224304,53362,6214178,115169,732758,1490211,1691689,1187230,689469,251697,55955,6413647,113102,708021,1485441,1752970,1280965,730758,284239,58151,6641272,120731,687271,1488915,1790490,1404604,771575,318060,59626
"서울특별시","총계",2286639,56359,373082,572673,600690,403231,215806,45835,18963,2306750,48686,349106,577806,610404,414937,234031,52273,19507,2343420,44964,334215,586890,617810,432347,249074,57687,20433,2386284,48876,329574,588654,615893,456428,260688,65969,20202,2412355,46637,324762,589865,614204,473306,269801,73479,20301,2436182,47814,321360,587296,609218,483441,284739,81899,20415,2459986,48966,317621,577124,611847,495253,297209,91093,20873,2483492,47364,300102,569096,617201,514797,311186,102982,20764,2536442,52860,298270,566321,621708,540208,322830,114439,19806
"서울특별시","남자",1279363,29962,208947,315961,330606,233455,123630,22829,13973,1280274,25746,194964,315927,331905,237187,134136,26041,14368,1288868,23712,186613,318378,330607,243880,141849,28773,15056,1297000,25421,184080,315886,323461,252657,147577,33125,14793,1296509,24211,181221,313431,317841,257146,150743,37051,14865,1295024,24615,178526,310785,310258,258073,156554,41410,14803,1295775,25008,175648,304726,308204,259772,161201,46163,15053,1297708,24017,164563,300689,309076,265841,166491,52244,14787,1314345,26566,161985,298888,310376,274197,170555,57715,14063
"서울특별시","여자",1007276,26397,164135,256712,270084,169776,92176,23006,4990,1026476,22940,154142,261879,278499,177750,99895,26232,5139,1054552,21252,147602,268512,287203,188467,107225,28914,5377,1089284,23455,145494,272768,292432,203771,113111,32844,5409,1115846,22426,143541,276434,296363,216160,119058,36428,5436,1141158,23199,142834,276511,298960,225368,128185,40489,5612,1164211,23958,141973,272398,303643,235481,136008,44930,5820,1185784,23347,135539,268407,308125,248956,144695,50738,5977,1222097,26294,136285,267433,311332,266011,152275,56724,5743
"부산광역시","총계",874492,19094,126565,203909,249395,163349,82635,15379,14166,909885,17269,123796,206055,259126,174590,95219,18793,15037,923056,16180,121996,208578,257764,181462,100365,20616,16095,950203,17804,122574,211192,256893,196100,105793,24128,15719,959418,16970,121982,210121,254641,205148,107689,27157,15710,973593,16588,118460,208817,252548,214267,115600,30924,16389,980424,15375,112119,205127,251782,220893,122835,34926,17367,986976,14107,103194,202929,249838,229175,129547,39629,18557,1001906,14337,97286,204662,246238,240931,135123,44323,19006
"부산광역시","남자",487550,10215,70752,107822,136761,95909,47211,7841,11039,502201,9284,69445,108133,139457,100751,53960,9474,11697,504054,8839,68918,108603,135487,102749,56597,10340,12521,511698,9550,69657,109358,131664,108358,59005,12009,12097,510334,9119,69615,108339,127638,110601,59515,13486,12021,513794,8943,67807,108278,124583,113463,62949,15343,12428,513980,8256,64299,107292,122656,115030,66139,17292,13016,513969,7540,59229,107312,120493,117257,68812,19555,13771,517709,7584,55816,109114,118233,120480,70788,21698,13996
"부산광역시","여자",386942,8879,55813,96087,112634,67440,35424,7538,3127,407684,7985,54351,97922,119669,73839,41259,9319,3340,419002,7341,53078,99975,122277,78713,43768,10276,3574,438505,8254,52917,101834,125229,87742,46788,12119,3622,449084,7851,52367,101782,127003,94547,48174,13671,3689,459799,7645,50653,100539,127965,100804,52651,15581,3961,466444,7119,47820,97835,129126,105863,56696,17634,4351,473007,6567,43965,95617,129345,111918,60735,20074,4786,484197,6753,41470,95548,128005,120451,64335,22625,5010
"대구광역시","총계",594293,11641,90101,159545,159789,98363,55576,11170,8108,611890,10947,89773,161476,164894,102672,60641,13013,8474,623401,10214,87882,163950,169137,106520,62886,13919,8893,639235,10979,85017,163718,172457,115349,65519,16574,9622,653026,10384,84104,164066,175563,123203,66796,19040,9870,671684,10968,84329,165173,179524,129745,70855,21476,9614,683423,11174,83708,162038,184010,133976,74500,24030,9987,690770,10932,79337,159955,185774,139873,78287,27019,9593,698114,10879,73946,157668,186209,148216,81304,29957,9935
"대구광역시","남자",342198,6685,51947,88828,91654,58231,32140,6156,6557,348109,6333,51842,88556,92935,59659,34864,7072,6848,350796,5983,51107,89026,93462,60981,35666,7374,7197,356387,6389,49670,88440,93603,65041,36790,8704,7750,360678,6098,49602,88296,93682,68178,37023,9935,7864,367859,6482,50277,88844,94078,70689,38752,11096,7641,371500,6478,50289,87371,95029,71916,40135,12437,7845,371768,6286,48012,86421,94628,73625,41514,13809,7473,372185,6185,44947,85564,93844,76354,42638,15013,7640
"대구광역시","여자",252095,4956,38154,70717,68135,40132,23436,5014,1551,263781,4614,37931,72920,71959,43013,25777,5941,1626,272605,4231,36775,74924,75675,45539,27220,6545,1696,282848,4590,35347,75278,78854,50308,28729,7870,1872,292348,4286,34502,75770,81881,55025,29773,9105,2006,303825,4486,34052,76329,85446,59056,32103,10380,1973,311923,4696,33419,74667,88981,62060,34365,11593,2142,319002,4646,31325,73534,91146,66248,36773,13210,2120,325929,4694,28999,72104,92365,71862,38666,14944,2295
"인천광역시","총계",677829,20233,123261,189263,181695,93734,50054,10920,8669,695488,17369,118060,190686,192363,99380,55548,13074,9008,709536,16256,115609,192712,198227,104903,58255,14116,9458,732615,17631,116952,193975,204251,114070,60669,16044,9023,746413,16665,114762,193511,208113,122140,63441,18449,9332,763252,16933,112201,194828,212142,129848,68012,20326,8962,780533,16910,110551,193674,217411,138325,71445,22881,9336,791488,15939,104222,192116,220468,148165,75393,25610,9575,803261,16330,97222,191658,220019,161266,79230,28088,9448
"인천광역시","남자",387338,10597,72587,106825,104236,53892,26995,5503,6703,394998,9122,69695,106835,109157,56770,30009,6437,6973,398844,8608,68345,107014,110335,59145,31297,6762,7338,407800,9343,69416,107129,111512,63318,32359,7717,7006,412015,8825,68323,106573,111955,66787,33542,8819,7191,417893,8882,66904,107368,112254,70196,35700,9706,6883,424105,8891,65714,107261,113236,73733,37268,10916,7086,427231,8310,61754,107171,113625,78043,39077,12084,7167,430338,8495,57320,107703,112470,83588,40669,13067,7026
"인천광역시","여자",290491,9636,50674,82438,77459,39842,23059,5417,1966,300490,8247,48365,83851,83206,42610,25539,6637,2035,310692,7648,47264,85698,87892,45758,26958,7354,2120,324815,8288,47536,86846,92739,50752,28310,8327,2017,334398,7840,46439,86938,96158,55353,29899,9630,2141,345359,8051,45297,87460,99888,59652,32312,10620,2079,356428,8019,44837,86413,104175,64592,34177,11965,2250,364257,7629,42468,84945,106843,70122,36316,13526,2408,372923,7835,39902,83955,107549,77678,38561,15021,2422
"광주광역시","총계",348858,9569,64527,97662,81738,52507,30450,6499,5906,354659,8331,61201,98997,85947,54104,32608,7371,6100,373513,8254,61996,105032,92186,57399,34151,8144,6351,386295,8715,62407,106943,95553,61440,35923,9260,6054,393535,8066,59862,107212,99482,64460,37600,10707,6146,399189,7966,57105,107398,101452,67059,40068,11884,6257,406703,8465,56703,105963,104883,69594,41916,13217,5962,414198,8522,54170,105585,107579,73588,44173,14901,5680,419407,8512,50792,104631,107970,78791,46019,16651,6041
"광주광역시","남자",192837,5313,35484,51388,44784,30348,17275,3481,4764,194360,4655,33945,51403,46417,30839,18342,3850,4909,203657,4632,34757,54343,49296,32400,19002,4122,5105,208743,4885,35597,54950,50154,33767,19889,4671,4830,211029,4546,34404,54958,51413,34778,20656,5381,4893,212848,4459,33168,55154,51701,35730,21763,5918,4955,214953,4743,33203,54653,52503,36249,22381,6565,4656,217349,4762,31893,54868,53267,37616,23144,7375,4424,218556,4686,29932,54734,53042,39598,23825,8123,4616
"광주광역시","여자",156021,4256,29043,46274,36954,22159,13175,3018,1142,160299,3676,27256,47594,39530,23265,14266,3521,1191,169856,3622,27239,50689,42890,24999,15149,4022,1246,177552,3830,26810,51993,45399,27673,16034,4589,1224,182506,3520,25458,52254,48069,29682,16944,5326,1253,186341,3507,23937,52244,49751,31329,18305,5966,1302,191750,3722,23500,51310,52380,33345,19535,6652,1306,196849,3760,22277,50717,54312,35972,21029,7526,1256,200851,3826,20860,49897,54928,39193,22194,8528,1425
"대전광역시","총계",359070,9047,63974,100457,95804,51609,28486,5993,3700,366120,7962,60891,102219,99050,54267,30873,6940,3918,380020,7841,60169,106227,102718,58302,32776,7832,4155,391520,8237,59323,107544,104738,63858,34584,9227,4009,395168,7469,56647,107383,105318,68089,35675,10576,4011,394868,7142,52047,105453,104986,71603,37610,11834,4193,402344,7282,51337,103574,107625,75127,39704,13484,4211,404201,6983,47835,100630,108958,78809,41447,15119,4420,410730,7698,45973,99515,109112,83907,43716,16465,4344
"대전광역시","남자",206642,5059,36310,56695,55415,30602,16353,3256,2952,208817,4491,34409,56958,56571,31891,17639,3731,3127,215380,4456,34222,58811,58002,33889,18606,4084,3310,219531,4695,33874,59034,57898,36531,19491,4839,3169,219542,4273,32669,58371,57305,38354,19909,5483,3178,217981,4096,30216,57063,56349,40030,20800,6132,3295,219888,4100,29993,55868,56759,41270,21652,6971,3275,219331,3883,28041,54428,57002,42453,22388,7745,3391,220324,4250,26758,53625,56710,44182,23235,8269,3295
"대전광역시","여자",152428,3988,27664,43762,40389,21007,12133,2737,748,157303,3471,26482,45261,42479,22376,13234,3209,791,164640,3385,25947,47416,44716,24413,14170,3748,845,171989,3542,25449,48510,46840,27327,15093,4388,840,175626,3196,23978,49012,48013,29735,15766,5093,833,176887,3046,21831,48390,48637,31573,16810,5702,898,182456,3182,21344,47706,50866,33857,18052,6513,936,184870,3100,19794,46202,51956,36356,19059,7374,1029,190406,3448,19215,45890,52402,39725,20481,8196,1049
"울산광역시","총계",291434,7736,55821,87673,81521,37214,15534,2733,3202,301663,6941,55216,88415,86721,40383,17378,3232,3377,311549,6600,55767,90026,90448,43346,18221,3520,3621,325450,7345,57793,90150,94702,48320,19545,4040,3555,331064,6763,57133,88427,97254,52624,20530,4672,3661,338232,6620,55865,88118,99521,56785,22455,5251,3617,343884,6484,54574,86770,102061,60336,24095,5755,3809,351519,5838,51607,86443,104087,65819,26645,6916,4164,358845,6266,49085,87153,104114,71695,28610,7854,4068
"울산광역시","남자",180908,4667,34552,53296,51670,23654,9117,1400,2552,185327,4238,34549,52554,54093,25398,10170,1637,2688,189958,4145,35277,52763,55428,27133,10553,1783,2876,196542,4668,37163,52026,56912,29690,11223,2039,2821,198577,4277,37033,50614,57768,31891,11762,2332,2900,202151,4200,36496,50689,58482,33937,12875,2632,2840,204605,4095,35866,50233,59217,35544,13849,2834,2967,208416,3582,34040,50513,59803,38438,15361,3472,3207,211198,3819,32367,51387,59064,41197,16365,3920,3079
"울산광역시","여자",110526,3069,21269,34377,29851,13560,6417,1333,650,116336,2703,20667,35861,32628,14985,7208,1595,689,121591,2455,20490,37263,35020,16213,7668,1737,745,128908,2677,20630,38124,37790,18630,8322,2001,734,132487,2486,20100,37813,39486,20733,8768,2340,761,136081,2420,19369,37429,41039,22848,9580,2619,777,139279,2389,18708,36537,42844,24792,10246,2921,842,143103,2256,17567,35930,44284,27381,11284,3444,957,147647,2447,16718,35766,45050,30498,12245,3934,989
"세종특별자치시","총계",27165,515,4437,6026,6331,4451,3434,921,1050,29421,522,4489,6840,6861,4757,3679,1100,1173,33459,718,5462,8656,7531,5014,3711,1081,1286,49659,1088,10896,14642,10360,6340,3869,1197,1267,58322,1180,12708,17907,12040,7664,4119,1402,1302,69759,1358,15073,22006,14480,9177,4656,1645,1364,81225,1650,17609,25735,17179,10749,5072,1890,1341,87537,1566,17343,28177,19373,12027,5509,2127,1415,93116,1671,16913,30303,21043,13402,5987,2292,1505
